primary_category,purpose,category_text,source,gparis_poi_tessellation,local_observed_count,cluster_id,semantic_cluster
smoothie_juice_bar,LEISURE,smoothie juice bar,citybehavex/category/unique_categories.csv,83,83,1,food_drink
soul_food,LEISURE,soul food,citybehavex/category/unique_categories.csv,8,8,1,food_drink
soup_restaurant,LEISURE,soup restaurant,citybehavex/category/unique_categories.csv,12,12,1,food_drink
south_african_restaurant,LEISURE,south african restaurant,citybehavex/category/unique_categories.csv,2,2,1,food_drink
southern_restaurant,LEISURE,southern restaurant,citybehavex/category/unique_categories.csv,4,4,1,food_drink
spanish_restaurant,LEISURE,spanish restaurant,citybehavex/category/unique_categories.csv,55,55,1,food_drink
sports_bar,LEISURE,sports bar,citybehavex/category/unique_categories.csv,37,37,1,food_drink
sri_lankan_restaurant,LEISURE,sri lankan restaurant,citybehavex/category/unique_categories.csv,16,16,1,food_drink
steakhouse,LEISURE,steakhouse,citybehavex/category/unique_categories.csv,239,239,0,food_drink
sushi_restaurant,LEISURE,sushi restaurant,citybehavex/category/unique_categories.csv,1007,1007,1,food_drink
swiss_restaurant,LEISURE,swiss restaurant,citybehavex/category/unique_categories.csv,5,5,1,food_drink
syrian_restaurant,LEISURE,syrian restaurant,citybehavex/category/unique_categories.csv,19,19,1,food_drink
taco_restaurant,LEISURE,taco restaurant,citybehavex/category/unique_categories.csv,128,128,1,food_drink
taiwanese_restaurant,LEISURE,taiwanese restaurant,citybehavex/category/unique_categories.csv,10,10,1,food_drink
tapas_bar,LEISURE,tapas bar,citybehavex/category/unique_categories.csv,191,191,1,food_drink
tea_room,LEISURE,tea room,citybehavex/category/unique_categories.csv,400,400,1,food_drink
texmex_restaurant,LEISURE,texmex restaurant,citybehavex/category/unique_categories.csv,19,19,1,food_drink
thai_restaurant,LEISURE,thai restaurant,citybehavex/category/unique_categories.csv,597,597,1,food_drink
theme_restaurant,LEISURE,theme restaurant,citybehavex/category/unique_categories.csv,58,58,1,food_drink
tiki_bar,LEISURE,tiki bar,citybehavex/category/unique_categories.csv,2,2,1,food_drink
topic_publisher,LEISURE,topic publisher,citybehavex/category/unique_categories.csv,808,808,1,food_drink
turkish_restaurant,LEISURE,turkish restaurant,citybehavex/category/unique_categories.csv,314,314,1,food_drink
ukrainian_restaurant,LEISURE,ukrainian restaurant,citybehavex/category/unique_categories.csv,6,6,1,food_drink
